10,100,8.02E-05
20,400,0.000713742
30,900,0.001294613
40,1600,0.007003225
50,2500,0.005145752
60,3600,0.006798576
70,4900,0.007917576
80,6400,0.009548235
90,8100,0.013570986
100,10000,0.016984924
